test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
34,0.000197,95.02,96.04,93.52,98.7,93.95,0.000381,91.76,93.72,91.27,96.31,90.03,0.001067,92.31,95.08,93.55,96.67,87.22
Average,0.000197,95.02,96.04,93.52,98.7,93.95,0.000381,91.76,93.72,91.27,96.31,90.03,0.001067,92.31,95.08,93.55,96.67,87.22
