test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
55,0.001394,95.15,95.95,97.43,94.52,95.32,0.001091,97.06,97.69,98.14,97.24,96.99,0.009913,77.83,81.01,100.0,68.09,84.04
Average,0.001394,95.15,95.95,97.43,94.52,95.32,0.001091,97.06,97.69,98.14,97.24,96.99,0.009913,77.83,81.01,100.0,68.09,84.04
