test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
Average,0.0016,94.6100,95.4900,97.1000,93.9400,94.8000,0.0017,94.4100,95.5300,97.6000,93.5500,94.7400,0.0050,85.6400,88.9800,100.0000,80.1500,90.0800
58,0.0016,94.8700,95.7600,97.1700,94.4000,95.0100,0.0016,95.5900,96.5200,97.2000,95.8500,95.4900,0.0009,96.6000,97.2100,98.8600,95.6000,96.9100
Average,0.0016,94.8700,95.7600,97.1700,94.4000,95.0100,0.0016,95.5900,96.5200,97.2000,95.8500,95.4900,0.0009,96.6000,97.2100,98.8600,95.6000,96.9100
60,0.0013,95.3600,96.1900,97.7200,94.7000,95.5600,0.0016,95.5900,96.4900,98.1000,94.9300,95.8400,0.0066,91.0100,90.9100,88.8900,93.0200,91.0800
Average,0.0013,95.3600,96.1900,97.7200,94.7000,95.5600,0.0016,95.5900,96.4900,98.1000,94.9300,95.8400,0.0066,91.0100,90.9100,88.8900,93.0200,91.0800
61,0.0016,94.8700,95.7800,97.0700,94.5100,94.9800,0.0012,97.3500,97.9200,98.1500,97.7000,97.2200,0.0133,84.0900,87.9300,79.6900,98.0800,80.9800
Average,0.0016,94.8700,95.7800,97.0700,94.5100,94.9800,0.0012,97.3500,97.9200,98.1500,97.7000,97.2200,0.0133,84.0900,87.9300,79.6900,98.0800,80.9800
62,0.0015,94.6800,95.5400,97.2200,93.9100,94.8900,0.0014,96.4700,97.2100,98.1200,96.3100,96.5300,0.0059,77.3000,82.6300,98.8800,70.9700,84.2000
Average,0.0015,94.6800,95.5400,97.2200,93.9100,94.8900,0.0014,96.4700,97.2100,98.1200,96.3100,96.5300,0.0059,77.3000,82.6300,98.8800,70.9700,84.2000
63,0.0015,95.2100,96.0000,97.1700,94.8600,95.3000,0.0015,96.1800,97.0100,96.7900,97.2400,95.7700,0.0032,85.0300,88.8000,98.2300,81.0200,88.5100
Average,0.0015,95.2100,96.0000,97.1700,94.8600,95.3000,0.0015,96.1800,97.0100,96.7900,97.2400,95.7700,0.0032,85.0300,88.8000,98.2300,81.0200,88.5100
AVERAGE,0.0014,95.1305,95.9750,97.4459,94.5459,95.3041,0.0013,96.3627,97.1250,97.9605,96.3136,96.3823,0.0070,86.1509,87.4973,89.8236,86.9323,86.9718
