test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
54,0.001255,95.46,96.29,96.95,95.65,95.41,0.001298,97.35,97.9,99.06,96.77,97.57,0.010647,76.16,76.0,90.48,65.52,78.07
Average,0.001255,95.46,96.29,96.95,95.65,95.41,0.001298,97.35,97.9,99.06,96.77,97.57,0.010647,76.16,76.0,90.48,65.52,78.07
