statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,93.01,93.92,95.42,92.47,93.12,0.00,95.44,96.11,97.20,95.11,95.52,0.01,86.36,86.37,93.31,81.16,87.51,9.09,9.74
std,0.00,0.78,0.69,0.57,0.92,0.76,0.00,1.69,1.51,1.45,2.94,1.53,0.00,9.18,10.55,8.62,13.12,8.48,8.81,10.17
min,0.00,91.11,92.21,94.16,90.31,91.27,0.00,90.40,91.47,93.56,86.55,91.30,0.00,58.93,51.06,70.59,40.00,60.38,-3.73,-3.14
max,0.00,94.45,95.21,96.32,94.13,94.52,0.00,98.13,98.42,99.53,99.10,98.22,0.01,100.00,100.00,100.00,100.00,100.00,36.27,44.85
