statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,92.86,94.51,91.57,97.65,91.19,0.00,92.06,93.82,93.18,94.47,91.14,0.00,88.50,86.23,80.00,93.51,89.44,3.56,7.59
std,,,,,,,,,,,,,,,,,,,,
min,0.00,92.86,94.51,91.57,97.65,91.19,0.00,92.06,93.82,93.18,94.47,91.14,0.00,88.50,86.23,80.00,93.51,89.44,3.56,7.59
max,0.00,92.86,94.51,91.57,97.65,91.19,0.00,92.06,93.82,93.18,94.47,91.14,0.00,88.50,86.23,80.00,93.51,89.44,3.56,7.59
