statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,92.39,94.18,90.81,97.81,90.49,0.00,96.18,97.07,95.13,99.08,95.07,0.00,88.50,86.23,80.00,93.51,89.44,7.68,10.84
std,,,,,,,,,,,,,,,,,,,,
min,0.00,92.39,94.18,90.81,97.81,90.49,0.00,96.18,97.07,95.13,99.08,95.07,0.00,88.50,86.23,80.00,93.51,89.44,7.68,10.84
max,0.00,92.39,94.18,90.81,97.81,90.49,0.00,96.18,97.07,95.13,99.08,95.07,0.00,88.50,86.23,80.00,93.51,89.44,7.68,10.84
