statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,89.46,91.88,87.30,96.99,87.26,0.00,93.82,96.10,93.77,98.60,88.37,0.00,87.30,91.10,88.54,94.57,80.88,6.52,5.00
std,0.00,1.92,1.38,2.25,0.41,2.40,0.00,2.35,1.38,2.72,0.90,5.25,0.00,7.99,6.13,8.92,6.91,13.27,7.99,6.13
min,0.00,84.13,88.18,81.19,96.34,80.49,0.00,85.16,91.10,84.31,96.31,69.24,0.00,70.73,78.79,65.00,76.47,50.00,-5.47,-3.43
max,0.00,93.36,94.75,91.87,97.81,92.06,0.00,96.47,97.74,96.36,99.54,92.95,0.01,97.78,98.41,99.24,100.00,96.43,23.26,18.28
