statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,95.44,96.31,96.82,95.81,95.32,0.00,96.76,97.47,97.25,97.70,96.41,0.01,83.07,85.22,79.49,91.85,82.48,13.69,12.25
std,,,,,,,,,,,,,,,,,,,,
min,0.00,95.44,96.31,96.82,95.81,95.32,0.00,96.76,97.47,97.25,97.70,96.41,0.01,83.07,85.22,79.49,91.85,82.48,13.69,12.25
max,0.00,95.44,96.31,96.82,95.81,95.32,0.00,96.76,97.47,97.25,97.70,96.41,0.01,83.07,85.22,79.49,91.85,82.48,13.69,12.25
