test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
37,0.000146,96.25,97.0,95.04,99.03,95.45,0.000476,89.71,92.2,89.22,95.39,87.53,0.002485,83.21,88.89,80.73,98.88,74.44
Average,0.000146,96.25,97.0,95.04,99.03,95.45,0.000476,89.71,92.2,89.22,95.39,87.53,0.002485,83.21,88.89,80.73,98.88,74.44
