statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,92.02,93.71,90.44,97.23,90.53,0.00,90.00,92.48,88.94,96.31,87.59,0.00,84.85,89.51,86.49,92.75,79.71,5.15,2.97
std,,,,,,,,,,,,,,,,,,,,
min,0.00,92.02,93.71,90.44,97.23,90.53,0.00,90.00,92.48,88.94,96.31,87.59,0.00,84.85,89.51,86.49,92.75,79.71,5.15,2.97
max,0.00,92.02,93.71,90.44,97.23,90.53,0.00,90.00,92.48,88.94,96.31,87.59,0.00,84.85,89.51,86.49,92.75,79.71,5.15,2.97
