statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.01,55.41,58.51,45.29,85.24,61.83,0.01,49.49,66.21,49.49,100.00,50.00,0.02,47.92,62.21,46.45,99.13,51.28,1.57,4.00
std,0.00,5.03,2.94,7.55,6.51,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.01,12.44,12.31,13.31,3.46,4.10,12.44,12.31
min,0.01,51.93,55.70,41.66,61.62,59.31,0.01,49.49,66.21,49.49,100.00,50.00,0.01,30.02,33.77,20.41,84.19,50.00,-31.16,-23.07
max,0.01,75.50,68.70,77.64,95.00,73.93,0.02,49.49,66.21,49.49,100.00,50.00,0.05,80.65,89.29,80.65,100.00,65.63,19.47,32.45
