subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
51,0.000346,90.5,93.89,89.75,98.43,83.07,0.001061,84.45,90.22,87.12,93.55,74.05,0.001187,0.9091,0.9444,0.8946999999999999,1.0,0.8,dual_symmetric
52,0.000402,90.07,93.63,89.8,97.81,82.55,0.000889,86.57,90.91,94.53,87.56,85.45,0.001521,0.7913,0.8462000000000001,0.8148000000000001,0.88,0.7525,dual_symmetric
53,0.000327,91.27,94.36,90.63,98.41,84.57,0.001059,83.04,88.41,92.89,84.33,81.56,0.003931,0.85,0.8966,0.9286,0.8667,0.8332999999999999,dual_symmetric
54,0.00046,89.05,92.99,88.76,97.63,80.9,0.001296,71.73,81.13,83.09,79.26,63.12,0.001065,0.8264,0.884,0.8511,0.9195,0.7539,dual_symmetric
55,0.000337,91.81,94.64,91.26,98.28,86.02,0.000854,84.1,89.7,89.09,90.32,76.98,0.000276,0.9467,0.9689,0.9459000000000001,0.9929000000000001,0.8536,dual_symmetric
56,0.000349,90.37,93.78,89.53,98.46,83.0,0.001502,74.91,84.6,79.92,89.86,57.81,0.000664,0.8896,0.9348000000000001,0.8896999999999999,0.9847,0.7424,dual_symmetric
58,0.000361,90.48,93.83,90.12,97.84,83.71,0.001503,84.81,89.49,95.31,84.33,85.35,0.002154,0.8761,0.9167000000000001,1.0,0.8462000000000001,0.9231,dual_symmetric
60,0.000317,91.18,94.33,90.69,98.27,84.32,0.000943,78.09,87.08,79.47,96.31,57.25,0.004469,0.7606,0.835,0.7167,1.0,0.6964,dual_symmetric
61,0.000332,92.16,94.91,91.65,98.42,86.25,0.001325,75.27,81.87,93.49,72.81,78.07,0.003372,0.6528,0.7748,0.7288,0.8269,0.5135000000000001,dual_symmetric
62,0.000348,90.85,94.04,90.22,98.19,84.35,0.000911,80.57,86.87,90.1,83.87,76.78,0.005896,0.6338,0.7373999999999999,0.9865,0.5887,0.7666,dual_symmetric
63,0.000371,89.98,93.53,89.26,98.23,82.55,0.000931,85.16,90.37,89.95,90.78,78.73,0.002887,0.7484999999999999,0.8234999999999999,0.9703,0.7153,0.8077,dual_symmetric
31,0.000468,86.13,91.32,85.88,97.5,74.91,0.000943,77.03,86.02,80.65,92.17,59.72,0.001691,0.4643,0.6341,0.4643,1.0,0.5,dual_asymmetric
34,0.000377,89.6,93.31,89.13,97.91,81.87,0.000953,84.81,90.02,90.65,89.4,79.55,0.0017,0.7222,0.8332999999999999,0.8332999999999999,0.8332999999999999,0.5,dual_asymmetric
36,0.000399,89.47,93.23,89.2,97.66,81.73,0.000979,86.22,90.65,94.5,87.1,85.22,0.003825,0.65,0.7585999999999999,0.7333,0.7857,0.5595,dual_asymmetric
37,0.000408,89.79,93.38,89.49,97.63,82.63,0.001137,73.14,83.19,80.0,86.64,57.71,0.000894,0.8411,0.9128000000000001,0.8395999999999999,1.0,0.5278,dual_asymmetric
38,0.00042,90.08,93.65,89.43,98.28,82.26,0.00071,88.34,92.16,95.1,89.4,87.12,0.003171,0.6423000000000001,0.7317,0.7792,0.6897,0.6087,dual_asymmetric
43,0.000393,89.23,93.08,88.79,97.82,81.23,0.000548,86.57,91.36,90.13,92.63,79.65,0.000666,0.8764,0.9231,0.8919,0.9565,0.7783,dual_asymmetric
44,0.000344,89.54,93.38,89.12,98.07,80.89,0.001003,78.8,86.36,85.2,87.56,68.78,0.001219,0.784,0.8356999999999999,0.8069,0.8667,0.7537999999999999,dual_asymmetric
45,0.000391,89.56,93.18,89.15,97.6,82.63,0.000729,90.11,93.24,97.97,88.94,91.44,0.003971,0.4211,0.5822999999999999,1.0,0.4107,0.7054,dual_asymmetric
46,0.000413,88.51,92.8,88.46,97.59,78.76,0.000755,89.05,92.74,94.29,91.24,86.53,0.001025,0.9245,0.9277,0.8652,1.0,0.9268000000000001,dual_asymmetric
49,0.000369,90.13,93.64,89.64,98.02,82.75,0.000867,83.75,89.55,88.34,90.78,75.69,0.002157,0.69,0.7890999999999999,0.8169,0.7631999999999999,0.6107,dual_asymmetric
50,0.000407,87.96,92.34,87.65,97.56,78.8,0.000826,85.16,90.41,89.59,91.24,78.2,0.000428,0.9667,0.9764,0.9538,1.0,0.9464,dual_asymmetric
51,0.000373,90.11,93.64,89.59,98.07,82.67,0.000523,87.63,92.1,90.27,94.01,80.34,0.004976,0.7726999999999999,0.8387,0.9286,0.7646999999999999,0.7824,dual_asymmetric
52,0.000383,89.83,93.49,89.57,97.76,82.13,0.000887,80.57,87.8,84.62,91.24,68.35,0.001408,0.7739,0.8523000000000001,0.7426,1.0,0.675,dual_asymmetric
