n_folds,f1_mean,f1_std,f1_min,f1_max,f1_median,f1_ci_low,f1_ci_high,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_median,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_std,precision_min,precision_max,precision_median,precision_ci_low,precision_ci_high,recall_mean,recall_std,recall_min,recall_max,recall_median,recall_ci_low,recall_ci_high,auc_mean,auc_std,auc_min,auc_max,auc_median,auc_ci_low,auc_ci_high,experiment,type,channels
22,0.9059272727272728,0.06990943244361768,0.7429000000000001,1.0,0.9209499999999999,0.8749311668314762,0.9369233786230694,0.8608454545454545,0.09037501091232351,0.6786,1.0,0.875,0.8207754194921532,0.9009154895987558,0.8570318181818181,0.11086609420447645,0.5909,1.0,0.85975,0.8078765457657988,0.9061870905978373,0.9702681818181816,0.041533972169247715,0.8276,1.0,0.98585,0.9518530502024393,0.988683313433924,0.7842318181818183,0.11658944404706399,0.5654,1.0,0.7704500000000001,0.7325389546053701,0.8359246817582665,kalman_dual,dual,7
22,0.8980818181818183,0.08080899075605996,0.6667000000000001,1.0,0.9129,0.862253118859629,0.9339105175040077,0.8471545454545453,0.11325433967202074,0.5157,1.0,0.86005,0.7969403843187977,0.8973687065902929,0.8506318181818183,0.1251459809919662,0.5,1.0,0.8672500000000001,0.7951451986560655,0.9061184377075712,0.9640363636363637,0.03998324107797623,0.8736,1.0,0.9775499999999999,0.9463087876685622,0.9817639396041652,0.769340909090909,0.14194884946980327,0.5,1.0,0.77125,0.7064043150411571,0.832277503140661,kalman_single,single,7
22,0.882740909090909,0.06568640258720586,0.7742,1.0,0.8871,0.8536171897394605,0.9118646284423574,0.8271681818181817,0.09382236704774378,0.65,1.0,0.8174999999999999,0.7855696746818008,0.8687666889545627,0.8650272727272725,0.10796763704624941,0.65,1.0,0.89265,0.8171571042217062,0.9128974412328389,0.9144045454545452,0.08248990978568357,0.7258,1.0,0.92085,0.8778305683862306,0.9509785225228597,0.7742772727272729,0.130328621027288,0.5119,1.0,0.7667,0.7164927993391791,0.8320617461153667,single_stream,single,6
22,0.8678136363636363,0.07609039295754033,0.7302,1.0,0.8815500000000001,0.8340770461021312,0.9015502266251414,0.8090181818181819,0.1041615624030817,0.575,1.0,0.8240000000000001,0.7628355322719789,0.8552008313643849,0.8541318181818182,0.1165221433538488,0.6505,1.0,0.87185,0.8024687940610892,0.9057948423025471,0.900231818181818,0.10492932036722277,0.5887,1.0,0.9195,0.8537087638243178,0.9467548725393181,0.7555136363636364,0.12946575680907743,0.4107,1.0,0.76025,0.6981117355375916,0.8129155371896812,dual_symmetric,dual,6
22,0.8655272727272727,0.08936295270422367,0.6667000000000001,1.0,0.8734,0.8259059591453733,0.905148586309172,0.8075045454545454,0.12074768844192946,0.5157,1.0,0.828,0.7539680195982209,0.8610410713108699,0.8575090909090908,0.1310395829296335,0.5,1.0,0.8611500000000001,0.7994093946727675,0.915608787145414,0.894831818181818,0.1076558112750942,0.6437,1.0,0.93175,0.8470999054778785,0.9425637308857575,0.7693272727272727,0.12876136355517812,0.5305,1.0,0.7854000000000001,0.7122376823738921,0.8264168630806534,dual_asym_dropout,dual,6
22,0.8176454545454545,0.1046494089227397,0.5822999999999999,0.9790000000000001,0.8261499999999999,0.7712465059698406,0.8640444031210683,0.7393409090909091,0.14454577017444917,0.4211,0.9667,0.7462500000000001,0.6752529049044906,0.8034289132773276,0.8471545454545454,0.1289009317904654,0.4643,1.0,0.8523999999999999,0.7900030740123125,0.9043060168967783,0.8249454545454546,0.1644944744397578,0.4107,1.0,0.84415,0.7520126903849064,0.8978782187060029,0.7087409090909091,0.1450345793220851,0.4904,0.9464,0.7227,0.6444361790697447,0.7730456391120736,dual_asymmetric,dual,6
