test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
55,0.001631,93.8,94.82,96.5,93.19,93.97,0.001282,96.18,96.96,98.57,95.39,96.48,0.005872,77.83,81.78,95.28,71.63,81.78
Average,0.001631,93.8,94.82,96.5,93.19,93.97,0.001282,96.18,96.96,98.57,95.39,96.48,0.005872,77.83,81.78,95.28,71.63,81.78
