test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
Average,0.0013,95.1800,95.9800,97.3400,94.6600,95.3300,0.0014,96.1800,97.0300,96.3600,97.7000,95.6000,0.0041,85.0800,88.6100,99.0600,80.1500,89.0800
58,0.0018,93.4500,94.5800,96.2100,93.0000,93.5800,0.0015,95.5900,96.6100,94.6900,98.6200,94.4300,0.0010,96.6000,97.2700,96.7400,97.8000,96.2200
Average,0.0018,93.4500,94.5800,96.2100,93.0000,93.5800,0.0015,95.5900,96.6100,94.6900,98.6200,94.4300,0.0010,96.6000,97.2700,96.7400,97.8000,96.2200
60,0.0023,92.8300,94.0800,96.0100,92.2300,93.0100,0.0024,92.3500,94.1400,92.0700,96.3100,90.8400,0.0102,82.0200,82.2200,78.7200,86.0500,82.1500
Average,0.0023,92.8300,94.0800,96.0100,92.2300,93.0100,0.0024,92.3500,94.1400,92.0700,96.3100,90.8400,0.0102,82.0200,82.2200,78.7200,86.0500,82.1500
61,0.0016,94.5200,95.4800,96.7000,94.3000,94.5800,0.0015,96.4700,97.2000,98.5800,95.8500,96.7100,0.0178,79.5500,83.0200,81.4800,84.6200,78.4200
Average,0.0016,94.5200,95.4800,96.7000,94.3000,94.5800,0.0015,96.4700,97.2000,98.5800,95.8500,96.7100,0.0178,79.5500,83.0200,81.4800,84.6200,78.4200
62,0.0015,94.3100,95.2200,97.0900,93.4200,94.5600,0.0010,97.0600,97.7100,97.2600,98.1600,96.6400,0.0060,79.7500,84.6500,100.0000,73.3900,86.6900
Average,0.0015,94.3100,95.2200,97.0900,93.4200,94.5600,0.0010,97.0600,97.7100,97.2600,98.1600,96.6400,0.0060,79.7500,84.6500,100.0000,73.3900,86.6900
63,0.0014,95.2100,96.0000,97.1700,94.8600,95.3000,0.0016,95.5900,96.5400,96.7600,96.3100,95.3100,0.0035,86.6300,90.2700,96.6700,84.6700,88.3400
Average,0.0014,95.2100,96.0000,97.1700,94.8600,95.3000,0.0016,95.5900,96.5400,96.7600,96.3100,95.3100,0.0035,86.6300,90.2700,96.6700,84.6700,88.3400
AVERAGE,0.0015,94.7559,95.6664,97.0882,94.2918,94.8945,0.0014,95.7214,96.6495,96.6905,96.6486,95.3673,0.0081,84.8845,86.4227,88.4823,85.8909,85.3459
