statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,89.98,91.14,94.21,88.27,90.32,0.00,91.42,92.45,96.18,89.18,91.94,0.01,77.61,76.29,93.63,66.88,80.68,13.81,16.16
std,0.00,0.92,0.83,0.64,1.09,0.89,0.00,2.75,2.66,1.90,5.08,2.33,0.00,9.72,13.60,9.35,17.26,8.35,9.25,12.90
min,0.00,88.23,89.75,93.06,86.56,88.59,0.00,85.07,86.14,93.02,77.13,86.71,0.00,59.60,42.11,63.81,26.67,63.33,0.36,0.42
max,0.00,92.05,92.95,95.54,90.66,92.30,0.00,94.93,95.59,99.04,95.96,95.53,0.01,94.04,94.86,100.00,90.22,95.11,33.07,51.41
