statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,93.32,94.46,96.27,92.72,93.49,0.00,95.88,96.73,98.10,95.39,96.07,0.00,89.77,90.91,95.74,86.54,90.49,6.11,5.82
std,,,,,,,,,,,,,,,,,,,,
min,0.00,93.32,94.46,96.27,92.72,93.49,0.00,95.88,96.73,98.10,95.39,96.07,0.00,89.77,90.91,95.74,86.54,90.49,6.11,5.82
max,0.00,93.32,94.46,96.27,92.72,93.49,0.00,95.88,96.73,98.10,95.39,96.07,0.00,89.77,90.91,95.74,86.54,90.49,6.11,5.82
