feature,trans_mean,cnn_mean,difference,p_value,significant
smv_max,67.22188598455541,59.90748644611896,7.314399538436454,0.0415576057876715,Yes
smv_std,5.0780506591404695,4.823442518149167,0.25460814099130236,0.32489410821174414,No
gyro_max,11.576415492631941,10.663975376845992,0.9124401157859499,0.09988606238622584,No
gyro_std,1.7284010317095397,1.648084869446589,0.08031616226295069,0.16606621860289042,No
jerk_max,1988.182548271733,1729.572644195992,258.6099040757408,0.04261772084154092,Yes
total_rotation_deg,20.68346262214858,13.640819874415664,7.0426427477329145,0.0001421046614471098,Yes
