process_var,measurement_var,q_r_ratio,cohens_d,auc_roc,mean_peak_preservation,fall_mean_smv,adl_mean_smv,cohens_d_norm,auc_norm,combined_score
1e-06,0.001,0.001,0.15993802581190517,0.5367997337271952,0.4697005014793565,11.45892927989232,11.119811021285852,0.16153670265062986,0.2093029284116663,0.18541981553114809
1e-06,0.01,9.999999999999999e-05,-0.11942997560351572,0.4783289301241913,0.45084113268475295,10.475720136628043,10.6870278722232,0.016574361251709708,0.08440106056790743,0.05048771090980857
1e-06,0.05,1.9999999999999998e-05,-0.14761845542061072,0.46739371623917403,0.44841263304823875,10.369070980572763,10.627715727483876,0.0019475320727802092,0.061041904282265136,0.031494718177522675
1e-06,0.1,9.999999999999999e-06,-0.15008420069705805,0.4591229639491585,0.44788735591082485,10.35276944713349,10.613809909971327,0.0006680719815880977,0.04337441305861261,0.02202124252010035
1e-06,0.5,2e-06,-0.1506629920371065,0.44706267812194456,0.446052420718087,10.311571328501666,10.562548054950186,0.00036774070739152646,0.01761194472011951,0.008989842713755518
1e-06,1.0,1e-06,-0.15035247880287894,0.44357478174644455,0.44473588956546717,10.283396493049926,10.525411885455513,0.0005288641189523418,0.010161307046259206,0.005345085582605774
1e-06,2.0,5e-07,-0.14884298199281,0.44006434926116234,0.4429958588438807,10.246085607454809,10.475723224608947,0.001312132749622791,0.002662529069336876,0.0019873309094798333
1e-05,0.001,0.01,0.8679139861219873,0.7499999999999999,0.5504927427285033,16.55852553831492,12.796090735783306,0.5289010834699193,0.6647287108767457,0.5968148971733325
1e-05,0.01,0.001,0.15993708400570864,0.5363611463598982,0.46963378528421373,11.45716036329894,11.118345039782966,0.1615362139531745,0.20836604405208028,0.1849511290026274
1e-05,0.05,0.0002,-0.08036972550073475,0.47540617004014896,0.4529664048213097,10.591518720431276,10.735058988612122,0.036842485309721416,0.07815763357082547,0.05750005944027345
1e-05,0.1,0.0001,-0.12240616104772271,0.4679831221873202,0.45026710912995577,10.45945570387801,10.672994621877756,0.015030036890137294,0.06230095836234101,0.03866549762623915
