statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,95.26,96.10,97.13,95.10,95.30,0.00,95.88,96.70,99.03,94.47,96.42,0.01,77.55,83.08,72.97,96.43,74.40,18.33,13.62
std,,,,,,,,,,,,,,,,,,,,
min,0.00,95.26,96.10,97.13,95.10,95.30,0.00,95.88,96.70,99.03,94.47,96.42,0.01,77.55,83.08,72.97,96.43,74.40,18.33,13.62
max,0.00,95.26,96.10,97.13,95.10,95.30,0.00,95.88,96.70,99.03,94.47,96.42,0.01,77.55,83.08,72.97,96.43,74.40,18.33,13.62
