statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,94.50,95.65,93.22,98.22,93.39,0.00,88.76,91.22,91.17,91.41,87.74,0.00,81.82,84.84,83.78,87.90,82.19,6.94,6.38
std,0.00,1.21,0.93,1.40,0.47,1.46,0.00,4.94,3.78,4.55,4.57,5.62,0.00,8.18,7.58,12.44,9.60,8.51,8.04,6.98
min,0.00,92.47,94.11,90.75,97.03,90.91,0.00,74.71,81.30,76.95,82.49,70.32,0.00,68.75,67.53,50.98,65.52,65.48,-8.29,-5.61
max,0.00,96.65,97.31,95.76,99.17,95.99,0.00,97.06,97.72,96.83,98.62,96.46,0.01,100.00,100.00,100.00,100.00,100.00,22.08,20.05
