statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,87.28,90.35,84.65,96.87,84.44,0.00,86.35,90.24,83.93,97.80,81.97,0.00,79.98,83.72,78.74,91.13,78.17,6.37,6.52
std,0.00,0.88,0.66,1.01,0.35,1.05,0.00,4.90,3.23,5.32,2.31,6.68,0.00,9.64,8.80,13.14,9.03,9.91,10.13,9.31
min,0.00,85.87,89.23,83.03,96.26,82.66,0.00,76.47,84.37,73.22,90.78,67.66,0.00,65.61,70.77,57.60,66.67,63.10,-8.42,-6.30
max,0.00,88.85,91.45,86.52,97.39,86.38,0.00,94.41,95.77,92.67,100.00,92.63,0.00,100.00,100.00,100.00,100.00,100.00,24.88,22.16
