Experiment,exp_id,N,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,f1_mean,f1_std,f1_ci_low,f1_ci_high,precision_mean,precision_std,precision_ci_low,precision_ci_high,recall_mean,recall_std,recall_ci_low,recall_ci_high,auc_mean,auc_std,auc_ci_low,auc_ci_high
TransformerSE (baseline),transformer_se,22,0.8587545454545455,0.08489544677494124,0.8211140130352714,0.8963950778738197,0.8782272727272726,0.08240694135013132,0.8416900818024654,0.9147644636520799,0.8559136363636365,0.11527390691183594,0.804804049276899,0.907023223450374,0.9112318181818182,0.07293036069307837,0.8788963077357214,0.943567328627915,0.8524590909090908,0.08122795471822264,0.8164446333725405,0.8884735484456411
Single (No Pos),single_no_pos,22,0.8307772727272726,0.09803979236741521,0.7873088639589256,0.8742456814956197,0.8587727272727274,0.08378193453312327,0.8216258985234335,0.8959195560220212,0.8397136363636364,0.13165011455497355,0.7813432455693644,0.8980840271579084,0.8973363636363636,0.09631581260403588,0.8546323246739224,0.9400404025988048,0.8233681818181817,0.10874174029438322,0.7751547951600036,0.8715815684763598
Single + Pos Encoding,single_with_pos,22,0.7949954545454546,0.12199960373578395,0.7409038605436095,0.8490870485472998,0.8355999999999999,0.09956190225659804,0.7914567255138085,0.8797432744861913,0.7960818181818179,0.14254100708672818,0.7328826761530646,0.8592809602105712,0.9010409090909092,0.0988243446924699,0.8572246493087836,0.9448571688730347,0.7785272727272727,0.12755100634953542,0.7219743246953427,0.8350802207592027
Dual (No Pos),dual_no_pos,22,0.8176045454545453,0.1011612408238533,0.7727521639729016,0.862456926936189,0.8434818181818181,0.09606083209718447,0.8008908312427659,0.8860728051208703,0.8249136363636363,0.12970433151872227,0.7674059574371875,0.8824213152900852,0.8787409090909093,0.10918001587195737,0.8303332019277695,0.9271486162540491,0.8115045454545455,0.1016550679282535,0.7664332133007654,0.8565758776083257
Dual + Pos Encoding,dual_with_pos,22,0.7824090909090909,0.15768159873646187,0.7124969866133553,0.8523211952048266,0.8143636363636364,0.13897468610010735,0.7527457124780693,0.8759815602492035,0.8221409090909089,0.13459524741871695,0.7624647195377154,0.8818170986441023,0.8477136363636365,0.178909632138299,0.7683895493313292,0.9270377233959438,0.7936181818181819,0.10986520154636095,0.7449066803460377,0.8423296832903261
