statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,89.90,91.81,87.40,96.67,88.52,0.00,94.93,95.88,92.86,99.10,93.96,0.00,69.64,76.71,65.12,93.33,67.82,25.29,19.17
std,,,,,,,,,,,,,,,,,,,,
min,0.00,89.90,91.81,87.40,96.67,88.52,0.00,94.93,95.88,92.86,99.10,93.96,0.00,69.64,76.71,65.12,93.33,67.82,25.29,19.17
max,0.00,89.90,91.81,87.40,96.67,88.52,0.00,94.93,95.88,92.86,99.10,93.96,0.00,69.64,76.71,65.12,93.33,67.82,25.29,19.17
