statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,96.59,97.23,97.09,97.38,96.36,0.00,93.66,94.97,96.16,93.84,93.59,0.01,82.53,84.75,84.69,86.01,82.10,11.13,10.21
std,0.00,0.65,0.52,0.55,0.59,0.70,0.00,1.60,1.32,1.45,2.34,1.57,0.01,10.14,10.27,12.26,11.44,10.67,9.79,9.98
min,0.00,95.34,96.23,95.69,96.15,94.94,0.00,90.00,91.94,93.81,87.56,90.11,0.00,59.18,59.72,56.76,49.43,55.36,-5.24,-3.94
max,0.00,97.72,98.15,98.02,98.36,97.53,0.01,95.29,96.28,98.54,96.77,95.32,0.04,98.18,98.41,100.00,100.00,97.92,35.23,32.22
