test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
Average,0.0014,94.9500,95.8000,96.7400,94.8800,94.9700,0.0015,95.2900,96.3100,96.3100,96.3100,94.9000,0.0029,87.8500,90.8300,100.0000,83.2100,91.6000
58,0.0020,92.7900,94.0500,95.3500,92.7800,92.7900,0.0014,95.5900,96.5400,96.7600,96.3100,95.3100,0.0011,93.8800,94.8000,100.0000,90.1100,95.0500
Average,0.0020,92.7900,94.0500,95.3500,92.7800,92.7900,0.0014,95.5900,96.5400,96.7600,96.3100,95.3100,0.0011,93.8800,94.8000,100.0000,90.1100,95.0500
60,0.0018,93.9300,95.0000,96.7300,93.3300,94.1200,0.0010,97.3500,97.9300,97.7100,98.1600,97.0500,0.0070,89.8900,89.8900,86.9600,93.0200,89.9900
Average,0.0018,93.9300,95.0000,96.7300,93.3300,94.1200,0.0010,97.3500,97.9300,97.7100,98.1600,97.0500,0.0070,89.8900,89.8900,86.9600,93.0200,89.9900
61,0.0019,93.1900,94.3500,96.2700,92.5100,93.3900,0.0012,95.2900,96.2400,98.0900,94.4700,95.6100,0.0035,89.7700,90.9100,95.7400,86.5400,90.4900
Average,0.0019,93.1900,94.3500,96.2700,92.5100,93.3900,0.0012,95.2900,96.2400,98.0900,94.4700,95.6100,0.0035,89.7700,90.9100,95.7400,86.5400,90.4900
62,0.0016,94.1100,95.0600,96.8100,93.3600,94.3200,0.0018,95.2900,96.3000,96.7400,95.8500,95.0800,0.0042,80.3700,85.1900,100.0000,74.1900,87.1000
Average,0.0016,94.1100,95.0600,96.8100,93.3600,94.3200,0.0018,95.2900,96.3000,96.7400,95.8500,95.0800,0.0042,80.3700,85.1900,100.0000,74.1900,87.1000
63,0.0018,93.7600,94.7700,96.5100,93.0900,93.9500,0.0022,93.2400,94.6100,96.1900,93.0900,93.2900,0.0033,84.4900,88.1600,100.0000,78.8300,89.4200
Average,0.0018,93.7600,94.7700,96.5100,93.0900,93.9500,0.0022,93.2400,94.6100,96.1900,93.0900,93.2900,0.0033,84.4900,88.1600,100.0000,78.8300,89.4200
AVERAGE,0.0016,94.2282,95.2350,96.5314,93.9759,94.3014,0.0015,95.9214,96.7809,97.3391,96.2518,95.7977,0.0071,86.7705,88.0873,89.9700,87.8823,87.5677
