statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,93.68,95.01,91.97,98.24,92.37,0.00,82.94,87.05,84.42,89.86,80.30,0.00,87.88,91.43,90.14,92.75,84.71,-4.94,-4.38
std,,,,,,,,,,,,,,,,,,,,
min,0.00,93.68,95.01,91.97,98.24,92.37,0.00,82.94,87.05,84.42,89.86,80.30,0.00,87.88,91.43,90.14,92.75,84.71,-4.94,-4.38
max,0.00,93.68,95.01,91.97,98.24,92.37,0.00,82.94,87.05,84.42,89.86,80.30,0.00,87.88,91.43,90.14,92.75,84.71,-4.94,-4.38
