statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,94.36,95.54,93.02,98.22,93.21,0.00,87.50,90.53,88.75,92.56,85.57,0.00,81.51,84.40,83.51,87.34,82.03,5.99,6.13
std,0.00,1.70,1.30,2.09,0.47,2.08,0.00,7.50,5.45,7.10,4.69,8.97,0.00,10.20,9.61,13.98,10.22,9.07,11.47,10.13
min,0.00,90.01,92.34,87.71,97.44,87.72,0.00,66.47,75.11,71.37,79.26,61.58,0.00,58.75,61.18,44.07,66.13,68.89,-18.66,-13.94
max,0.00,97.05,97.63,96.39,99.15,96.50,0.00,95.88,96.82,95.52,98.16,95.01,0.01,97.96,98.38,100.00,100.00,97.32,22.08,24.00
