statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,96.25,97.02,95.00,99.11,95.40,0.00,98.24,98.62,98.17,99.08,97.91,0.00,69.39,65.12,93.33,50.00,72.62,28.85,33.51
std,,,,,,,,,,,,,,,,,,,,
min,0.00,96.25,97.02,95.00,99.11,95.40,0.00,98.24,98.62,98.17,99.08,97.91,0.00,69.39,65.12,93.33,50.00,72.62,28.85,33.51
max,0.00,96.25,97.02,95.00,99.11,95.40,0.00,98.24,98.62,98.17,99.08,97.91,0.00,69.39,65.12,93.33,50.00,72.62,28.85,33.51
