statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,92.33,94.02,90.39,97.96,90.66,0.00,90.35,92.68,90.47,95.10,88.53,0.00,83.55,86.57,82.30,92.69,82.65,6.80,6.12
std,0.00,1.19,0.89,1.39,0.48,1.46,0.00,4.53,3.27,4.66,2.37,5.59,0.00,9.28,8.44,12.68,8.11,9.68,10.29,9.04
min,0.00,89.84,92.16,87.76,97.03,87.66,0.00,76.47,82.91,77.29,89.40,71.53,0.00,66.24,69.36,57.78,68.97,61.86,-10.86,-8.07
max,0.00,94.99,95.95,93.22,98.86,94.02,0.00,95.88,96.79,96.35,98.62,95.37,0.00,97.33,98.19,100.00,100.00,95.64,28.76,26.75
