test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
46,0.001634,93.94,95.09,97.0,93.26,94.18,0.00122,96.18,96.98,97.66,96.31,96.12,0.004732,91.5,89.44,85.71,93.51,91.88
Average,0.001634,93.94,95.09,97.0,93.26,94.18,0.00122,96.18,96.98,97.66,96.31,96.12,0.004732,91.5,89.44,85.71,93.51,91.88
