test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
46,0.001681,93.97,95.13,96.74,93.58,94.11,0.001618,94.41,95.55,97.14,94.01,94.57,0.004503,91.0,88.75,85.54,92.21,91.23
Average,0.001681,93.97,95.13,96.74,93.58,94.11,0.001618,94.41,95.55,97.14,94.01,94.57,0.004503,91.0,88.75,85.54,92.21,91.23
