test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
55,0.001995,93.87,94.9,96.08,93.74,93.9,0.002353,94.41,95.53,97.6,93.55,94.74,0.003712,88.67,91.32,97.58,85.82,90.49
Average,0.001995,93.87,94.9,96.08,93.74,93.9,0.002353,94.41,95.53,97.6,93.55,94.74,0.003712,88.67,91.32,97.58,85.82,90.49
