statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,94.31,95.48,92.74,98.39,93.14,0.00,96.47,97.27,95.96,98.62,95.65,0.00,90.08,93.05,88.78,97.75,85.78,6.39,4.22
std,,,,,,,,,,,,,,,,,,,,
min,0.00,94.31,95.48,92.74,98.39,93.14,0.00,96.47,97.27,95.96,98.62,95.65,0.00,90.08,93.05,88.78,97.75,85.78,6.39,4.22
max,0.00,94.31,95.48,92.74,98.39,93.14,0.00,96.47,97.27,95.96,98.62,95.65,0.00,90.08,93.05,88.78,97.75,85.78,6.39,4.22
