test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
62,0.000157,96.44,97.12,95.49,98.79,95.81,0.000257,96.47,97.25,96.8,97.7,96.0,0.00387,76.69,82.41,96.74,71.77,82.04
Average,0.000157,96.44,97.12,95.49,98.79,95.81,0.000257,96.47,97.25,96.8,97.7,96.0,0.00387,76.69,82.41,96.74,71.77,82.04
