statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,95.85,96.69,94.69,98.79,94.97,0.00,91.47,93.51,90.87,96.31,89.62,0.00,62.50,74.02,62.67,90.38,56.30,28.97,19.50
std,,,,,,,,,,,,,,,,,,,,
min,0.00,95.85,96.69,94.69,98.79,94.97,0.00,91.47,93.51,90.87,96.31,89.62,0.00,62.50,74.02,62.67,90.38,56.30,28.97,19.50
max,0.00,95.85,96.69,94.69,98.79,94.97,0.00,91.47,93.51,90.87,96.31,89.62,0.00,62.50,74.02,62.67,90.38,56.30,28.97,19.50
