statistic,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc,overfitting_gap_accuracy,overfitting_gap_f1
mean,0.00,94.41,95.57,93.11,98.17,93.28,0.00,94.41,95.71,93.81,97.70,93.16,0.00,89.83,91.18,91.18,91.18,89.59,4.58,4.53
std,,,,,,,,,,,,,,,,,,,,
min,0.00,94.41,95.57,93.11,98.17,93.28,0.00,94.41,95.71,93.81,97.70,93.16,0.00,89.83,91.18,91.18,91.18,89.59,4.58,4.53
max,0.00,94.41,95.57,93.11,98.17,93.28,0.00,94.41,95.71,93.81,97.70,93.16,0.00,89.83,91.18,91.18,91.18,89.59,4.58,4.53
