fold,test_subject,phase,epoch,loss,accuracy,f1_score,precision,recall,auc
1,37,train,1,0.013054492717591034,65.12010529779533,69.36416184971098,74.90636704119851,64.58557588805166,65.27331292285734
1,37,val,1,0.010457291585557601,67.3529411764706,71.16883116883118,81.54761904761905,63.133640552995395,68.96519426023754
1,37,train,2,0.006920747539839411,77.52550180980585,80.84151472650771,84.41710603397775,77.55651237890204,77.51661351375246
1,37,val,2,0.00991118839558433,65.88235294117646,65.68047337278108,91.73553719008265,51.1520737327189,71.51099621595294
1,37,train,3,0.005224078025775507,82.09937479434024,84.72768107804605,88.55633802816901,81.21636167922497,82.35246534426956
1,37,val,3,0.002313191706643385,94.11764705882352,95.32710280373831,96.6824644549763,94.00921658986175,94.15907983964632
1,37,train,4,0.004453719083946682,84.76472523856532,87.14246042765897,90.0172117039587,84.44564047362756,84.85618179481548
1,37,val,4,0.002512094981091864,90.88235294117646,92.63657957244655,95.58823529411765,89.86175115207374,91.272338990671
1,37,train,5,0.0036724470420941274,86.96939782823297,88.96935933147633,92.2055427251732,85.95263724434876,87.26082327924466
1,37,val,5,0.0038837641696719562,90.58823529411765,92.23300970873785,97.43589743589743,87.55760368663594,91.74628151811473
1,37,train,6,0.0033334852829109726,88.58177031918395,90.43286462641301,92.70774448841154,88.26695371367062,88.6720035291469
1,37,val,6,0.003215656166567522,91.76470588235294,93.20388349514563,98.46153846153847,88.47926267281106,93.02011914128359
1,37,train,7,0.00291041233069648,89.47022046725897,91.13082039911308,93.94285714285714,88.48223896663079,89.75339721405206
1,37,val,7,0.0010409919983323883,97.35294117647058,97.93103448275863,97.70642201834863,98.15668202764977,97.04582068862165
1,37,train,8,0.003025736175563313,89.70055939453768,91.30797000833103,94.32013769363166,88.48223896663079,90.04975623183361
1,37,val,8,0.00303147393552696,92.3529411764706,94.06392694063928,93.21266968325791,94.93087557603687,91.36787681240868
1,37,train,9,0.002601102430909117,90.42448173741361,91.9412905012462,94.69480889903024,89.34337997847148,90.73434875299526
1,37,val,9,0.0021118012640406105,94.11764705882352,95.41284403669725,94.97716894977168,95.85253456221197,93.45472256565883
1,37,train,10,0.0026210665913662186,90.06252056597565,91.62971175166297,94.45714285714286,88.96663078579118,90.37662614649422
1,37,val,10,0.0028268450432840514,90.88235294117646,92.80742459396751,93.45794392523365,92.16589861751152,90.39189239818667
1,37,train,11,0.0023871641526413655,90.72063178677196,92.19701162147204,94.874715261959,89.66630785791173,91.02282370033605
1,37,val,11,0.0036953471381874644,92.3529411764706,93.77990430622009,97.51243781094527,90.32258064516128,93.12876999737739
1,37,train,12,0.0024129730986701538,90.88515959197105,92.37964236588721,94.48508722566122,90.3659849300323,91.03396621607457
1,37,val,12,0.0025443335228106556,94.70588235294117,95.75471698113208,98.06763285024155,93.54838709677419,95.14817728822452
1,37,train,13,0.002153832637026107,92.16847647252385,93.46153846153845,95.45454545454545,91.55005382131324,92.34572970489879
1,37,val,13,0.002648366680916618,93.52941176470588,94.97716894977167,94.11764705882352,95.85253456221197,92.64171443557753
1,37,train,14,0.002181729709397966,91.93813754524514,93.28583173472184,95.03070910106086,91.60387513455328,92.03394434119704
1,37,val,14,0.0021935983944465134,93.23529411764706,94.7845804988662,93.30357142857143,96.31336405529954,92.05912105204003
1,37,train,15,0.0020704509070748047,92.62915432708128,93.8529088913282,95.74468085106383,92.03444564047362,92.7996106271801
1,37,val,15,0.002262281527852311,93.23529411764706,94.53681710213776,97.54901960784314,91.70506912442397,93.82001423700873
1,37,train,16,0.0021231174150278947,92.00394866732478,93.30394047947094,95.59570863918691,91.11948331539288,92.25745545955928
1,37,val,16,0.0032299822415499126,92.94117647058823,94.41860465116278,95.30516431924883,93.54838709677419,92.70915289798059
1,37,train,17,0.0018293449042874287,93.2872655478776,94.40175631174533,96.30459126539753,92.57265877287406,93.49208721878249
1,37,val,17,0.002473031006315175,95.0,96.14512471655328,94.64285714285714,97.6958525345622,93.96987748679331
1,37,train,18,0.0021492336392794913,92.53043764396183,93.79950833105708,95.23017193566278,92.41119483315393,92.56461519811803
1,37,val,18,0.008211299952338724,89.11764705882354,91.29411764705881,93.26923076923077,89.40092165898618,89.00940391892398
1,37,train,19,0.0021282722692361747,91.93813754524514,93.25254750757368,95.4878736604625,91.11948331539288,92.17278145447882
1,37,val,19,0.0030731443754013848,92.05882352941175,93.76443418013857,93.98148148148148,93.54838709677419,91.48964070285864
1,37,train,20,0.0017012667748127065,94.07699901283317,95.1086956521739,96.0482985729967,94.18729817007535,94.04538490214182
1,37,val,20,0.0014197645161081764,96.76470588235294,97.48283752860412,96.81818181818181,98.15668202764977,96.23281255854033
1,37,train,21,0.0016424982339957703,94.40605462323133,95.38043478260869,96.32272228320527,94.45640473627557,94.39162319794303
1,37,val,21,0.0023014166063683875,93.23529411764706,94.80812641083521,92.92035398230088,96.7741935483871,91.88303173354313
1,37,train,22,0.001686769166508369,94.10990457387298,95.12394442931082,96.30446773303916,93.97201291711518,94.14942728836284
1,37,val,22,0.002115014650146751,95.0,96.03729603729604,97.16981132075472,94.93087557603687,95.02641339777452
1,37,test,best,0.0032755579543477706,87.78625954198473,90.9090909090909,91.95402298850574,89.8876404494382,86.61048689138576
